ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,version,cipher,curve,server_name,resumed,last_alert,next_protocol,established,ssl_history,cert_chain_fps,client_cert_chain_fps,sni_matches_cert
1762276468.378392,CupqtU2TVMxb6vD58j,192.168.1.226,53342,20.42.73.28,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,-,F,-,-,F,jis,-,-,-
1762276523.172654,CZVjiG4wAFzYBzXvKg,192.168.1.226,34604,38.94.152.204,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,-,F,-,-,F,si,-,-,-
1762276523.154505,CBS3rY1JJKMleYTBZe,192.168.1.226,60784,13.219.4.63,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,h2,F,sxknti,"4fb7f5cffef0c74e38d0033a639a42a76c14bba5afd42f560ee39a09839022eb,b0f330a31a0c50987e1c3a7bb02c2dda682991d3165b517bd44fba4a6020bd94,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706",(empty),-
1762276664.197190,C7t6BKfvQcBthGy99,192.168.1.226,58188,38.94.152.202,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,-,F,-,-,F,si,-,-,-
1762276643.161585,C2PTOu1gpYLwfDS9A2,192.168.1.226,50454,52.205.16.9,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,h2,F,sxknti,"4fb7f5cffef0c74e38d0033a639a42a76c14bba5afd42f560ee39a09839022eb,b0f330a31a0c50987e1c3a7bb02c2dda682991d3165b517bd44fba4a6020bd94,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706",(empty),-
1762276709.966790,CLvPdH3mBEuUmyvQ0e,192.168.1.226,54806,13.107.5.93,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,-,F,-,-,F,jis,-,-,-
1762276710.241590,CFg27a1ycKdQ9vMgHg,192.168.1.226,54816,13.107.5.93,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,-,F,-,-,F,jis,-,-,-
1762276709.732798,CFoZxF1cAvfgPmT2df,192.168.1.226,54790,13.107.5.93,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,-,F,-,-,F,jis,-,-,-
1762276437.905079,CRfc6j3JBGZ7h5h6d1,192.168.1.226,60386,52.168.117.169,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,-,F,-,-,F,jis,-,-,-
1762276763.164221,CaMSPM22nSvPnbt2ll,192.168.1.226,34162,34.234.1.110,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,h2,F,sxknti,"4fb7f5cffef0c74e38d0033a639a42a76c14bba5afd42f560ee39a09839022eb,b0f330a31a0c50987e1c3a7bb02c2dda682991d3165b517bd44fba4a6020bd94,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706",(empty),-
1762276709.734346,CrPu2b2qCSaTrTUqA4,192.168.1.226,47144,13.107.246.57,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,-,F,-,-,F,jis,-,-,-
1762276825.182299,Cvg4M532PlryhRnemf,192.168.1.226,50712,38.94.152.202,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,-,F,-,-,F,si,-,-,-
1762276883.162635,CGeFI9eMtYSvt8WY7,192.168.1.226,57474,34.234.1.110,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,-,-,F,-,h2,F,si,-,-,-
1762277006.189122,CagLGu2aLI97IpT3nf,192.168.1.226,45822,38.94.152.203,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,-,F,-,-,F,si,-,-,-
1762277009.876985,CkEaNe25vTAHN1WK3l,192.168.1.226,35030,13.107.213.57,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,-,F,-,-,F,jis,-,-,-
1762277207.194683,Camxo92IMYVm0Z7B38,192.168.1.226,34184,38.94.152.205,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,-,F,-,-,F,si,-,-,-
1762277243.165450,CZIdjk1xU7aJH0Oejh,192.168.1.226,34910,44.218.59.95,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,h2,F,sxknti,"4fb7f5cffef0c74e38d0033a639a42a76c14bba5afd42f560ee39a09839022eb,b0f330a31a0c50987e1c3a7bb02c2dda682991d3165b517bd44fba4a6020bd94,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706",(empty),-
1762277372.905794,CqdnFk0Tcz3s3MbWj,192.168.1.226,52426,140.82.112.25,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,-,F,-,-,F,si,-,-,-
1762277310.019762,CEfrDb30FaaYZpiZw6,192.168.1.226,33386,13.107.246.57,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,-,F,-,-,F,jis,-,-,-
1762277375.298798,C5y8Yk4GN3rI2tvpF1,192.168.1.226,60782,140.82.113.3,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,-,F,-,-,F,si,-,-,-
1762277363.336234,CAEJUbLYHi4zI8Ss4,192.168.1.226,34154,54.90.195.224,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,h2,F,sxknti,"4fb7f5cffef0c74e38d0033a639a42a76c14bba5afd42f560ee39a09839022eb,b0f330a31a0c50987e1c3a7bb02c2dda682991d3165b517bd44fba4a6020bd94,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706",(empty),-
1762277428.177510,Cv850g1n4d2o3irYsc,192.168.1.226,37966,38.94.152.205,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,-,F,-,-,F,si,-,-,-
1762276864.103755,C6JEiSWzVf29Vfle4,192.168.1.226,34298,23.215.55.177,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,-,F,-,-,F,si,-,-,-
1762277069.106483,CttcsV15QhNs294iG5,192.168.1.226,43976,104.18.32.47,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,-,F,-,-,F,si,-,-,-
1762277483.167092,CQFA5L3vW5VdJxfn5i,192.168.1.226,35640,44.197.144.252,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,h2,F,sxknti,"4fb7f5cffef0c74e38d0033a639a42a76c14bba5afd42f560ee39a09839022eb,b0f330a31a0c50987e1c3a7bb02c2dda682991d3165b517bd44fba4a6020bd94,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706",(empty),-
1762277309.203159,C5YvE7l54HP2LpWa4,192.168.1.226,46492,64.233.180.94,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,-,F,-,-,F,si,-,-,-
1762277637.332842,CZm0hq2ZLdnJmmU5n9,192.168.1.226,60012,13.107.5.93,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,-,F,-,-,F,jis,-,-,-
1762277603.166191,CxPiiD2DvwvIQW9f76,192.168.1.226,34236,100.27.56.205,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,h2,F,sxknti,"4fb7f5cffef0c74e38d0033a639a42a76c14bba5afd42f560ee39a09839022eb,b0f330a31a0c50987e1c3a7bb02c2dda682991d3165b517bd44fba4a6020bd94,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706",(empty),-
1762277669.188515,CD0jPA2bPsjGMBupza,192.168.1.226,54698,38.94.152.204,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,-,F,-,-,F,si,-,-,-
1762277610.148903,CjUuvr3TaRhy6FH8Kk,192.168.1.226,47946,13.107.246.57,443,TLSv13,TLS_AES_256_GCM_SHA384,secp256r1,-,F,-,-,F,jis,-,-,-
1762277644.112708,Cm31jX2DAsGM6K4bB4,192.168.1.226,44070,23.215.55.181,443,TLSv13,TLS_AES_256_GCM_SHA384,x25519,-,F,-,-,F,si,-,-,-
1762277723.168058,CtKlNQ28c9kFTn3KNd,192.168.1.226,46738,52.70.246.181,443,TLSv12,TLS_ECDHE_RSA_WITH_AES_128_GCM_SHA256,secp256r1,-,F,-,h2,F,sxknti,"4fb7f5cffef0c74e38d0033a639a42a76c14bba5afd42f560ee39a09839022eb,b0f330a31a0c50987e1c3a7bb02c2dda682991d3165b517bd44fba4a6020bd94,87dcd4dc74640a322cd205552506d1be64f12596258096544986b4850bc72706",(empty),-
1762277375.776732,CKgOGi1xvXB7uewFDl,192.168.1.226,52440,140.82.112.25,443,TLSv13,TLS_AES_128_GCM_SHA256,x25519,-,F,-,-,F,si,-,-,-
1762277069.869031,CjkDp7ACT8J0CsRSf,192.168.1.226,40436,104.18.39.21,443,TLSv13,TLS_AES_128_GCM_SHA256,X25519MLKEM768,-,F,-,-,F,si,-,-,-
1762276493.111353,CPAqIDXwgFEx9LhB9,192.168.1.226,37784,52.182.143.215,443,TLSv13,TLS_AES_256_GCM_SHA384,secp384r1,-,F,-,-,F,jis,-,-,-
